TRADEDATE,BOARDID,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
2013-12-25,TQBR,FXRU ETF,FXRU,0,0.0,,,,3334.8,,,0,,,,0.0,0.0,0.0,
2013-12-26,TQBR,FXRU ETF,FXRU,0,0.0,,,,3334.8,,,0,,,,0.0,0.0,0.0,
2013-12-27,TQBR,FXRU ETF,FXRU,1,3293.2,3293.2,3293.2,3293.2,3293.2,3293.2,3293.2,1,,,,0.0,0.0,0.0,
2013-12-30,TQBR,FXRU ETF,FXRU,0,0.0,,,,3293.2,,,0,,,,0.0,0.0,0.0,
2014-01-06,TQBR,FXRU ETF,FXRU,0,0.0,,,,3293.2,,,0,,,,0.0,0.0,0.0,11925.18
2014-01-08,TQBR,FXRU ETF,FXRU,0,0.0,,,,3293.2,,,0,,,,0.0,0.0,0.0,11925.18
2014-01-09,TQBR,FXRU ETF,FXRU,0,0.0,,,,3293.2,,,0,,,,0.0,0.0,0.0,11925.18
2014-01-10,TQBR,FXRU ETF,FXRU,1,3364.1,3364.1,3364.1,3364.1,3364.1,3364.1,3364.1,1,,,,0.0,0.0,0.0,11925.18
2014-01-13,TQBR,FXRU ETF,FXRU,0,0.0,,,,3364.1,,,0,,,,0.0,0.0,0.0,11925.18
2014-01-14,TQBR,FXRU ETF,FXRU,0,0.0,,,,3364.1,,,0,,,,0.0,0.0,0.0,11925.18
2014-01-15,TQBR,FXRU ETF,FXRU,0,0.0,,,,3364.1,,,0,,,,0.0,0.0,0.0,11925.18
2014-01-16,TQBR,FXRU ETF,FXRU,0,0.0,,,,3364.1,,,0,,,,0.0,0.0,0.0,11925.18
2014-01-17,TQBR,FXRU ETF,FXRU,3,50878.5,3391.9,3391.8,3392.3,3391.9,3391.9,3392.3,15,,,,0.0,0.0,0.0,11925.18
2014-01-20,TQBR,FXRU ETF,FXRU,0,0.0,,,,3391.9,,,0,,,,0.0,0.0,0.0,11925.18
2014-01-21,TQBR,FXRU ETF,FXRU,0,0.0,,,,3391.9,,,0,,,,0.0,0.0,0.0,11925.18
2014-01-22,TQBR,FXRU ETF,FXRU,0,0.0,,,,3391.9,,,0,,,,0.0,0.0,0.0,11925.18
2014-01-23,TQBR,FXRU ETF,FXRU,2,3074870.0,3456.8,3435.0,3456.8,3435.0,3435.6,3435.0,895,,3427.9,,0.0,3362764.4,0.0,11925.18
2014-01-24,TQBR,FXRU ETF,FXRU,1,87397.5,3495.9,3495.9,3495.9,3495.9,3495.9,3495.9,25,,3430.6,,0.0,3406541.7,0.0,11925.18
2014-01-27,TQBR,FXRU ETF,FXRU,0,0.0,,,,3495.9,,,0,,3430.6,,0.0,3406541.7,0.0,11925.18
2014-01-28,TQBR,FXRU ETF,FXRU,2,8695977.0,3477.0,3477.0,3477.0,3477.0,3477.0,3477.0,2501,,3465.9,,0.0,11915780.3,0.0,11925.18
