TRADEDATE,BOARDID,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,CLOSE,WAPRICE
2019-06-24,RPEO,ВТБ Б-1-13,RU000A100089,1,42.22,100.411826,100.411826,100.411826,100.411826,
2019-06-24,RPEU,ВТБ Б-1-13,RU000A100089,3,17704.47,100.419675,100.419675,100.439035,100.41998000000001,
2019-06-25,RPEO,ВТБ Б-1-13,RU000A100089,1,42.08,100.427146,100.427146,100.427146,100.427146,
2019-06-25,RPEU,ВТБ Б-1-13,RU000A100089,4,27902.64,100.419714,100.403562,100.420005,100.420005,
2019-06-26,RPEO,ВТБ Б-1-13,RU000A100089,1,42.33,100.508775,100.508775,100.508775,100.508775,
2019-06-26,RPEU,ВТБ Б-1-13,RU000A100089,3,17697.59,100.499647,100.4743,100.500016,100.500016,
2019-06-27,RPEO,ВТБ Б-1-13,RU000A100089,1,42.25,100.529087,100.529087,100.529087,100.529087,
2019-06-27,RPEU,ВТБ Б-1-13,RU000A100089,3,16694.1,100.52991800000001,100.52991800000001,100.556088,100.556088,
2019-06-28,RPEO,ВТБ Б-1-13,RU000A100089,1,42.11,100.591666,100.591666,100.591666,100.591666,
2019-06-28,RPEU,ВТБ Б-1-13,RU000A100089,2,16831.08,100.55709399999999,100.55709399999999,100.580003,100.580003,
2019-07-01,RPEU,ВТБ Б-1-13,RU000A100089,3,16838.95,100.41635500000001,100.39001400000001,100.41635500000001,100.41635500000001,
2019-07-02,RPEO,ВТБ Б-1-13,RU000A100089,2,28.04,100.097472,100.097472,100.097472,100.097472,
2019-07-02,RPEU,ВТБ Б-1-13,RU000A100089,7,36056.32,100.12991099999999,100.10468900000001,100.12991099999999,100.110024,
2019-07-03,RPEU,ВТБ Б-1-13,RU000A100089,3,16999.44,100.466909,100.448844,100.466909,100.448844,
2019-07-04,RPEO,ВТБ Б-1-13,RU000A100089,1,3496.27,100.540088,100.540088,100.540088,100.540088,
2019-07-05,RPEU,ВТБ Б-1-13,RU000A100089,5,27043.05,100.619946,100.617863,100.620018,100.620018,
2019-07-08,RPEU,ВТБ Б-1-13,RU000A100089,4,27334.23,100.590046,100.579988,100.590046,100.580963,
2019-07-09,RPEU,ВТБ Б-1-13,RU000A100089,4,27328.57,100.430015,100.403483,100.430856,100.430856,
2019-07-10,RPEU,ВТБ Б-1-13,RU000A100089,4,27334.01,100.43145,100.43145,100.46000500000001,100.459983,
2019-07-11,RPEU,ВТБ Б-1-13,RU000A100089,2,16811.42,100.546909,100.519977,100.546909,100.519977,
2019-07-12,RPEU,ВТБ Б-1-13,RU000A100089,3,27233.13,100.499992,100.47606800000001,100.499997,100.499997,
